#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_HUNGARY;Hungary-Croatia;Hongrie-Croatie;Ungarn-Kroatien;;Hungría-Croacia;;;;;x,,,,,,,,,,,,,
BM_ITALY_DESC;The Holy Roman Empire is in decline, and Italy has finally been completely freed from its grasp. Dukes war with counts, mayors with Doges. Who will unite Italy--or will Italy be united at all?;Le Saint Empire romain est en déclin, et l'Italie a finalement été complètement libéré de son emprise. Guerre ducs avec les chiffres, les maires avec des Doges. Qui unira Italie - ou sera l'Italie sera uni à tous?;Das Heilige Römische Reich ist im Niedergang, und Italien hat endlich vollständig aus seinem Griff befreit. Dukes Krieg mit zählt, Bürgermeister mit Dogen. Wer wird zu vereinen Italien - Italien wird oder überhaupt vereint werden?;;El Sacro Imperio Romano está en declive, e Italia por fin ha sido completamente liberada de su alcance. Guerra Dukes con recuentos, los alcaldes con los Dogos. ¿Quién va a unir a Italia - o va a Italia para unirse a todos?;;;;;x,,,,,,,,,,,
BM_SALADIN;Salah ad-Din;Salah ad-Din;Salah ad-Din;;Salah ad-Din;;;;;x,,,,,,,,,,,,,
BM_SALADIN_DESC;Salah ad-Din Yusuf ibn Ayyub--better known to the Western world as Saladin--has taken the throne of Egypt for his own. Previously the servant of the Emir of Damascus, Nur ad-Din, Salah ad-Din has broken with his former benefactor to usurp the Sultanate of Egypt from the Shia Fatimids during a period of crisis, choosing opportunity over longstanding friendship with the Emir, and causing great tension in the Crusader States. Although Salah ad-Din is likely to be preoccupied for a time with the Emir of Aleppo, not to mention his own Shia subjects, it is only a matter of time until the holy warrior turns his eyes toward the states of Jerusalem and Antioch.;Salah ad-Din Yusuf ibn Ayyoub - mieux connu dans le monde occidental comme Saladin - a pris le trône d'Egypte pour son propre. Auparavant, le serviteur de l'émir de Damas, Nur ad-Din, Salah ad-Din a rompu avec son ancien bienfaiteur d'usurper le Sultanat d'Egypte des Fatimides chiites au cours d'une période de crise, le choix d'opportunité sur l'amitié de longue date avec l'émir, et provoquant une grande tension dans les États croisé. Bien que Salah ad-Din est susceptible d'être préoccupé pour un temps avec l'émir d'Alep, de ne pas parler de ses propres sujets chiites, ce n'est qu'une question de temps jusqu'à ce que le saint guerrier tourne les yeux vers les états de Jérusalem et d'Antioche.;Salah ad-Din Yusuf ibn Ayyub - besser in der westlichen Welt bekannt als Saladin - hat den Thron von Ägypten für seine eigenen gemacht. Zuvor, der Knecht des Emir von Damaskus, Nur ad-Din, hat Salah ad-Din mit seinem ehemaligen Wohltäter das Sultanat von Ägypten aus den schiitischen Fatimiden in einer Zeit der Krise an sich zu reißen, die Wahl Gelegenheit über langjährige Freundschaft mit dem Emir gebrochen und verursacht große Spannungen in der Kreuzfahrerstaaten. Obwohl Salah ad-Din ist wahrscheinlich eine Zeit lang mit dem Emir von Aleppo, ganz zu schweigen von seiner eigenen schiitischen Themen beschäftigt zu sein, ist es nur eine Frage der Zeit, bis die heiligen Krieger wendet seine Augen auf den Bundesstaaten von Jerusalem und Antiochien.;;Salah ad-Din Yusuf ibn Ayyub - mejor conocido en el mundo occidental como Saladino - ha tomado el trono de Egipto por su propia cuenta. Anteriormente, el siervo del emir de Damasco, Nur ad-Din, Saladino ha roto con su ex benefactor de usurpar el Sultanato de Egipto de los chiíes fatimíes durante un periodo de crisis, la elección de oportunidad sobre la amistad de larga data con el emir, y causando una gran tensión en los estados cruzados. Aunque Salah ad-Din es probable que estar preocupado por un tiempo con el emir de Alepo, por no hablar de sus propios súbditos chiíes, es sólo una cuestión de tiempo hasta que el santo guerrero vuelve los ojos hacia los estados de Jerusalén y Antioquía.;;;;;x,,,,,,,
BM_ANARCHY;The Anarchy;l'Anarchie;Die Anarchie;;La anarquía;;;;;x,,,,,,,,,,,,,
BM_ANARCHY_DESC;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter's place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Foulque of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;L'anarchie était une période de début de l'histoire anglaise dans laquelle la dynastie des conquérant normand William est tombé en panne et a été remplacé par la maison de cadets de Plantagenet. Tout a commencé lorsque le deuxième roi normand d'Angleterre, Henri I, est mort sans question légitime. Bien que Henry a tenté de placer sa fille Matilda sur le trône, les seigneurs de l'Angleterre ne l'aurait pas. À la place de sa fille, un descendant mâle de William par les femmes, Stephen de Blois, a été déclaré roi. Soutien à Stephen n'était pas absolue, cependant, et il y avait de nombreux loyalistes qui s'étaient rangés avec Mathilde dans la succession. Matilda se fut marié à la première fils du roi Foulque de Jérusalem, Geoffrey d'Anjou, plus tard pour être connu comme Geoffrey Plantagenet. Geoffrey a réussi à conquérir la Normandie en son nom, et la crise de succession entre le vassal puissant et le faible roi Etienne d'Angleterre semble être inévitable.;Die Anarchie war eine Zeit der frühen englischen Geschichte, in der die Dynastie der normannischen Eroberer William brach zusammen und wurde von dem Kadett Haus Plantagenet ersetzt. Es begann, als der zweite Norman König von England, Heinrich I., starb ohne legitime Frage. Obwohl Henry versucht, seine Tochter Matilda auf den Thron zu setzen, würden die Herren von England nicht haben. An die Stelle seiner Tochter, ein männlicher Nachkomme von William durch die weibliche Linie, Stephen de Blois, wurde zum König erklärt. Unterstützung für Stephen war nicht absolut, aber, und es gab viele Loyalisten, die in der Folge mit Matilda einseitig. Matilda selbst wurde dem ersten Sohn von König Foulque von Jerusalem, Geoffrey von Anjou, der später als Geoffrey Plantagenet bekannt sein verheiratet. Geoffrey hat es geschafft, ihren Namen in der Normandie zu erobern, und die Nachfolgekrise zwischen der mächtigen Vasallen und dem schwachen König Stephan von England scheint unvermeidlich zu sein.;La anarquía era un período de la historia temprana Inglés en el que la dinastía del conquistador normando Guillermo rompió y fue reemplazado por la casa de cadetes de Plantagenet. Todo comenzó cuando el segundo Norman Rey de Inglaterra, Enrique I, murió sin descendencia legítima. Aunque Henry intentó colocar a su hija Matilda en el trono, los príncipes de Inglaterra no lo tendrían. En la casa de su hija, un descendiente varón de William a través de la línea femenina, Stephen de Blois, fue declarado rey. El apoyo a Stephen no era absoluta, sin embargo, y había muchos partidarios de que se pusieron de Matilda en la sucesión. Matilda ella estaba casada con el primer hijo del rey Fulco de Jerusalén, Godofredo de Anjou, que más tarde sería conocido como Geoffrey Plantagenet. Geoffrey ha logrado conquistar Normandía en su nombre, y la crisis de la sucesión entre el vasallo poderoso y el débil rey Esteban de Inglaterra parece ser inevitable.;;;;;;x,,
BM_LITHUANIA;House Gediminaitis Restored;Maison Gediminaitis restaurée;Restauriertes Haus Gediminaitis;;Casa Gediminaitis Restaurado;;;;;x,,,,,,,,,,,,,
BM_LITHUANIA_DESC;After the brief reign of the usurper-king Treniotas, the people of Lithuania have seen fit to restore the house of King Mindaugas to the throne, establishing his first son Vaisvilkas as King. Vaisvilkas has expanded Lithuania to the east, and in so doing has inadvertantly made Lithuania one of the de facto gateguards of Europe alongside the Kings of Poland, Hungary, Bulgaria, and the Grand Duke of Novgorod. Although Vaisvilkas's realm is still relatively small, his pious Christianity buys him time and potential support from other Christian rulers.  If he can gain that support and use it to hold off the Mongol horde,the ambitious young King of Lithuania might well be able to recover some of his ancestral lands lost to the Teuton knights.;Après le bref règne de l'usurpateur-roi Treniotas, les Lituaniens ont jugé bon de restaurer la maison du roi Mindaugas au trône, en établissant son premier fils Vaisvilkas comme roi. Vaisvilkas a élargi la Lituanie à l'est, et, ce faisant, a par inadvertance fait Lituanie un des gateguards de facto de l'Europe aux côtés des rois de Pologne, la Hongrie, la Bulgarie, et le grand-duc de Novgorod. Bien que le royaume de Vaisvilkas est encore relativement faible, son christianisme pieuse lui de gagner du temps et de soutien potentiel d'autres dirigeants chrétiens. S'il peut gagner que le soutien et l'utiliser pour tenir à distance la horde mongole, l'ambitieux jeune roi de Lituanie pourrait bien être en mesure de récupérer une partie de ses terres ancestrales perdu pour les chevaliers teutons.;Nach der kurzen Regierungszeit des Usurpators-König Treniotas, haben die Menschen in Litauen fit gesehen, das Haus des Königs Mindaugas auf den Thron wieder herzustellen, der Gründung seines ersten Sohnes Vaisvilkas als König. Vaisvilkas hat Litauen im Osten erweitert, und damit hat sich versehentlich aus Litauen eine der de facto gateguards Europas neben der Könige von Polen, Ungarn, Bulgarien und der Großherzog von Novgorod. Obwohl Vaisvilkas Reich ist noch relativ klein, kauft seine frommen Christentum ihm Zeit und mögliche Unterstützung von anderen christlichen Herrscher. Wenn er diese Unterstützung zu gewinnen und verwenden Sie es zu warten, das mongolische Horde, könnte der ehrgeizige junge König von Litauen und in der Lage, wieder einige seiner angestammten Land verloren die Germanen Ritter sein.;;Tras el breve reinado del usurpador rey Treniotas, el pueblo de Lituania han tenido a restaurar la casa del rey Mindaugas al trono, estableciendo su primer hijo Vaišvilkas como Rey. Vaišvilkas ha ampliado Lituania, al este, y al hacerlo, ha hecho inadvertidamente Lituania uno de los gateguards de facto de Europa junto a los reyes de Polonia, Hungría, Bulgaria, y el Gran Duque de Novgorod. Aunque el reino de Vaišvilkas es todavía relativamente pequeño, su piadosa cristianismo le da tiempo y el potencial apoyo de otros gobernantes cristianos. Si es capaz de ganar ese apoyo y lo utilizan para mantener a raya a las hordas mongoles, el ambicioso joven rey de Lituania podría ser capaz de recuperar parte de sus tierras ancestrales perdieron ante los caballeros teutones.;;;;;x, ,,,,
BM_HABSBURG;The Habsburgs;les Habsbourg;Die Habsburger;;Los Habsburgo;;;;;x,,,,,,,,,,,,,
BM_HABSBURG_DESC;Rudolf von Habsburg, current Holy Roman Emperor, has put down Ottokar II of Bohemia, his only rival for the Imperial throne. With Ottokar's defeat much of his lands have defaulted back to the crown, including the duchy of Österreich, which Rudolf has entrusted to his son, Albricht. Although the succession is secure and a new age has begun with the Habsburg control of Österreich, not all is well in the Empire. The Kingdom of Sicily has broken out of the firm control that Frederick II held it with, and has even begun expanding, conquering much of the coast of Greece and even the Duchy of Provence. Inspired by the succession crisis and Sicily's success, many small states of northern Italy have declared independence. History calls the Habsburgs one of the most successful houses of the Medieval period, but now they face the potential collapse of the Empire's control of the Italian peninsula. Stop the collapse, for the glory of the House of Habsburg!;Rudolf von Habsburg, actuel empereur romain germanique, a mis bas Ottokar II de Bohême, son seul rival pour le trône impérial. Avec la défaite d'Ottokar grande partie de ses terres ont manqué à la Couronne, y compris le duché de Österreich, qui Rudolf a confié à son fils, Albricht. Bien que la relève est assurée et une nouvelle ère a commencé avec le contrôle des Habsbourg Österreich, tout n'est pas parfait dans l'Empire. Le royaume de Sicile a éclaté de la société de contrôle que Frédéric II a tenu avec, et a même commencé à étendre, conquérir une grande partie de la côte de la Grèce et même le duché de Provence. Inspiré par la crise de la succession et la réussite de la Sicile, de nombreux petits États du nord de l'Italie ont déclaré leur indépendance. Histoire appelle le Habsbourg une des maisons les plus réussis de la période médiévale, mais maintenant ils font face à l'effondrement potentiel du contrôle de l'empire de la péninsule italienne. Arrêtez l'effondrement, pour la gloire de la maison de Habsbourg!;Rudolf von Habsburg, aktuelle römische Kaiser hat sich Ottokar II. von Böhmen, sein einziger Rivale für den kaiserlichen Thron setzen. Mit Ottokars Niederlage viel von seinem Land haben wieder an die Krone, darunter das Herzogtum Österreich, die Rudolf hat an seinen Sohn anvertraut Albricht ausgefallen. Obwohl die Folge ist sicher und ein neues Zeitalter hat mit der Kontrolle von Habsburg Österreich begonnen hat, nicht alles gut im Reich. Das Königreich Sizilien hat sich aus der Firma, die Steuer Friedrich II. hielt es mit brochen und hat sogar begonnen, den Ausbau, die Eroberung viel von der Küste von Griechenland und auch das Herzogtum Provence. Inspiriert von der Nachfolgekrise und den Erfolg von Sizilien, haben viele Kleinstaaten Norditaliens Unabhängigkeit erklärt. Geschichte ruft die Habsburger eine der erfolgreichsten Häuser des Mittelalters, aber jetzt haben sie das Potenzial Zusammenbruch des Imperiums die Kontrolle über die italienische Halbinsel blicken. Stoppen Sie den Kollaps, für den Ruhm des Hauses Habsburg!;;Rudolf von Habsburg, actual emperador del Sacro Imperio, ha echado Ottokar II de Bohemia, su único rival por el trono imperial. Con la derrota de Ottokar gran parte de sus tierras han dejado de pagar de nuevo a la corona, incluyendo el ducado de Österreich, que Rudolf ha confiado a su hijo, Albricht. Aunque la sucesión es segura y una nueva era ha comenzado con el control de los Habsburgo de Österreich, no todo está bien en el Imperio. El Reino de Sicilia ha salido de la empresa de control que Frederick II celebró con, e incluso ha comenzado la expansión, la conquista de gran parte de la costa de Grecia e incluso el Ducado de Provence. Inspirado por la crisis de la sucesión y el éxito de Sicilia, muchos pequeños Estados del norte de Italia han declarado la independencia. Historia llama a la Habsburgo una de las casas más exitosos de la época medieval, pero ahora se enfrentan al colapso potencial del control del Imperio de la península italiana. Detener la caída, por la gloria de la casa de Habsburgo!;;;;;x,
BM_PLANTAGENET;Holy Roman Empire in Turmoil;Saint-Empire romain dans la tourmente;Heilige Römische Reich in Aufruhr;;Sacro Imperio Romano en agitación;;;;;x,,,,,,,,,,,,,
BM_PLANTAGENET_DESC;Richard Plantagenet, through bribes to the German electorate, has been elected as King of the Germans. His election is not a simple one, however. It raises serious questions about the future of the Holy Roman Empire. The powerful Plantagenet England is a strong ally of the Emperor--one that he may need, for the Holy Roman Empire is dangerously imbalanced. Konrad II von Hohenstauffen, King of Sicily and grandson to Frederick Barbarossa, is an independent elector of the Empire, and jealously seeking a return of his family's titles. His control of the Duchy of Swabia means the Kingdom of Sicily has lands in central Germany, weakening the Empire and making Konrad a valid successor. If danger from outside Kings is not enough, Ottokar II of Bohemia has expanded toward the Adriatic sea, massing power and support for his own potential election. Can the House of Plantagenet maintain control through another election?;Richard Plantagenet, par des pots de vin à l'électorat allemand, a été élu roi des Allemands. Son élection n'est pas simple, cependant. Il soulève de sérieuses questions quant à l'avenir du Saint Empire romain germanique. Le puissant Plantagenet Angleterre est un allié de l'empereur - qui il peut avoir besoin, pour le Saint Empire romain germanique est dangereusement déséquilibré. Konrad von II Hohenstaufen, roi de Sicile et petit-fils de Frédéric Barberousse, est un électeur indépendant de l'Empire, et cherche jalousement un retour des titres de sa famille. Son contrôle du duché de Souabe signifie le royaume de Sicile a des terres dans le centre de l'Allemagne, l'affaiblissement de l'Empire et de faire Konrad un successeur valable. Si le danger de Kings à l'extérieur n'est pas assez, Ottokar II de Bohême a élargi vers la mer Adriatique, la puissance et le soutien de sa propre élection potentiel massant. La Chambre de Plantagenet peut maintenir le contrôle par une autre élection?;Richard Plantagenet, durch Bestechung der deutschen Wählerschaft, wurde als König der Deutschen gewählt worden. Seine Wahl ist nicht einfach ein, jedoch. Es wirft ernste Fragen über die Zukunft des Heiligen Römischen Reiches. Die leistungsstarke Plantagenet England ist ein starker Verbündeter des Kaisers - ein, dass er brauchen kann, für das Heilige Römische Reich gefährlich unausgewogen ist. Konrad II. von Hohenstaufen, König von Sizilien und Enkel Friedrich Barbarossas, ist eine unabhängige Kurfürsten des Reiches, und eifersüchtig suche eine Rückkehr der Titel seiner Familie. Seine Kontrolle des Herzogtums Schwaben bedeutet, das Königreich Sizilien hat Ländereien in Mittel Deutschland, Schwächung des Reiches und macht Konrad eine gültige Nachfolger. Bei Gefahr von außen Kings nicht genug ist, hat Ottokar II. von Böhmen in Richtung der Adria erweitert, Massierung Macht und Unterstützung für seine eigenen Potenziale Wahl. Kann das Haus Plantagenet, die Kontrolle über eine andere Wahl?;;Richard Plantagenet, a través de sobornos a los electores alemanes, ha sido elegido como rey de los alemanes. Su elección no es sencilla, sin embargo. Esto plantea serias dudas sobre el futuro del Sacro Imperio Romano. El potente Plantagenet de Inglaterra es un fuerte aliado del Emperador - una que podría necesitar, por el Sacro Imperio Romano es peligrosamente desequilibrada. Konrad von II Hohenstauffen, rey de Sicilia y nieto de Federico Barbarroja, es un elector independiente del Imperio, y celosamente que busquen una rentabilidad de los títulos de su familia. Su control del ducado de Suabia significa el Reino de Sicilia tiene tierras en el centro de Alemania, lo que debilita el imperio y haciendo Konrad un sucesor válido. Si el peligro de Reyes fuera no es suficiente, Ottokar II de Bohemia se ha expandido hacia el mar Adriático, concentrando el poder y el apoyo a su propia elección potencial. ¿Puede la Casa de Plantagenet mantener el control a través de otra elección?;;;;;x,,,
BM_CASTILLE;The Union of Castille and León;L'Union de Castille-et-León;Die Union von Kastilien und León;;La Unión de Castilla y León;;;;;x,,,,,,,,,,,,,
BM_CASTILLE_DESC;Through the untimely death of his brothers, Sancho of Castille has come to inherit his family's divided kingdoms of Galicia and León. Although the crown of Galicia has been declared defunct, Sancho has chosen to retain León and rule it in personal union alongside Castille, crowning himself the Emperor of León-Castilla. With northern Iberia united against the Islamic threat to the south there is greater hope for a Catholic peninsula than before, but nothing is certain. Personal unions can be broken, and Muslims can unite against a common threat just as their Catholic brethren have.;Grâce à la mort prématurée de ses frères, Sancho de Castille a rejoint hériter des royaumes divisés de sa famille de la Galice et León. Bien que la couronne de la Galice a été déclarée disparue, Sancho a choisi de conserver León et de l'article dans l'union personnelle aux côtés de Castille, se couronnant l'empereur de León-Castille. Avec nord Iberia uni contre la menace islamique au sud, il ya plus d'espoir pour une péninsule catholique qu'avant, mais rien n'est certain. Unions personnelles peuvent être brisées, et les musulmans peuvent s'unir contre une menace commune tout comme leurs frères catholiques ont.;Durch den frühen Tod seiner Brüder Sancho von Kastilien ist gekommen, um seiner Familie geteilt Königreiche von Galicien und León erben. Obwohl die Krone von Galizien wurde nicht mehr existierenden erklärt hat Sancho gewählt, um León zu behalten und es herrschen in Personalunion neben Kastilien, krönt sich zum Kaiser von León-Kastilien. Mit Nord Iberia vereint gegen die islamische Bedrohung in den Süden gibt es mehr Hoffnung für eine katholische Halbinsel als zuvor, aber nichts ist sicher. Persönliche Gewerkschaften gebrochen werden kann, und die Muslime gegen eine gemeinsame Bedrohung wie ihre katholischen Brüder haben zu vereinen.;;A través de la prematura muerte de sus hermanos, Sancho de Castilla ha llegado a heredar los reinos divididos de su familia de Galicia y León. Aunque la corona de Galicia ha sido declarada extinta, Sancho ha optado por conservar León y descartarlo en la unión personal junto con Castilla, coronándose el Emperador de León-Castilla. Con el norte de Iberia unido contra la amenaza islámica en el sur hay una mayor esperanza de una península católica que antes, pero no hay nada seguro. Sindicatos personales pueden dividirse, y los musulmanes pueden unirse contra una amenaza común al igual que sus hermanos católicos tienen.;;;;;x,,,,,,,,
BM_LEVANT;Seljuk Conquest of the Levant;Seldjoukide conquête du Levant;Seldschukischen Eroberung der Levante;;Seljuk Conquista del Levante;;;;;x,,,,,,,,,,,,,
BM_LEVANT_DESC;Against even other Muslims the Seljuk horde does not stay its hand. Seeking access to critical Mediterranean trade and control over the holy city of Mecca, Malik I Shah of the Seljuk Sultanate has declared war upon the Fatimid Sultan al-Mustansir, a war that al-Mustansir has lost. Control of the Levant and the holy cities of Mecca and Medina have passed into Seljuk hands, smashing the balance of power in the east and making the Seljuks one of the most powerful states in Eurasia.;Même contre d'autres musulmans de la horde seldjoukide ne reste pas sa main. Cherchant accès au commerce méditerranéen critique et le contrôle de la ville sainte de La Mecque, Malik Shah I du Sultanat seldjoukide a déclaré la guerre à la fatimide Sultan al-Mustansir, une guerre qui al-Mustansir a perdu. Contrôle du Levant et les villes saintes de la Mecque et de Médine ont passé dans les mains des Seldjoukides, brisant l'équilibre des forces dans l'est et de faire les Seldjoukides un des États les plus puissants de l'Eurasie.;Gegen sogar andere Muslime die Seldschuken Horde bleibt nicht die Hand. Ich suche den Zugriff auf kritische Mittelmeerhandel und die Kontrolle über die heilige Stadt Mekka hat Malik Schah I der Seldschuken Sultanat Krieges auf dem Fatimiden-Sultan al-Mustansir, einem Krieg, der al-Mustansir verloren erklärt. Die Steuerung der Levante und die heiligen Städte Mekka und Medina sind in Seldschuken Hände gegangen, die Zerschlagung der Machtverhältnisse im Osten und machen die Seldschuken einer der mächtigsten Staaten in Eurasien.;;Contra incluso otros musulmanes la horda selyúcida no se queda su mano. Buscando el acceso al comercio mediterráneo crítica y el control sobre la ciudad santa de La Meca, Malik Shah I del sultanato selyúcida ha declarado la guerra a la fatimí Sultan al-Mustansir, una guerra que al-Mustansir ha perdido. El control del Levante y las ciudades santas de La Meca y Medina han pasado a manos selyúcidas, rompiendo el equilibrio de poder en el este y haciendo los selyúcidas uno de los estados más poderosos en Eurasia.;;;;;x,,,,,,,,,,
BM_KIEV;Kiev and Novgorod;Kiev et Novgorod;Kiew und Nowgorod;;Kiev y Novgorod;;;;;x,,,,,,,,,,,,,
BM_KIEV_DESC;For a brief period, the duchies of Kiev and Novgorod stand balanced in the frigid north of Russia. Both are powerful and both wish to unite the Rus in a more permanent union, but only one can succeed. To the south, problems in Byzantium are alleviated by the fracture of the Seljuk royal house between the seat of Perisa and Rum, but this, too, is an imperfect solution--the Sultanate of Rum is still immensely powerful. Nevertheless, with the immediate pressure of the immensely powerful Seljuk Sultanate diverted from Byzantine possessions, it may be possible to take advantage of the weakened position of the Egyptian Sultan on the North African coast.;Pendant une brève période, les duchés de Kiev et de Novgorod se équilibrée dans le nord glacial de la Russie. Les deux sont à la fois puissant et veulent unir la Rus dans une union plus permanent, mais un seul peut réussir. Au sud, les problèmes de Byzance sont atténués par la fracture de la maison royale seldjoukide entre le siège de Perisa et rhum, mais, aussi, est une solution imparfaite - le Sultanat de Roum est encore très puissant. Néanmoins, avec la pression immédiate de la très puissant seldjoukide Sultanat détourné de possessions byzantines, il peut être possible de tirer parti de la position affaiblie du sultan égyptien sur la côte nord-africaine.;Für eine kurze Zeit, die Herzogtümer von Kiew und Nowgorod stehen in der kalten Norden Russlands ausgewogen. Beide sind mächtig, und beide wollen die Rus in eine dauerhafte unite, aber nur einer kann gelingen. Im Süden werden Probleme in Byzanz durch den Bruch der Seldschuken Königshaus zwischen dem Sitz der Perisa und Rum gelindert, aber auch dies ist eine unvollkommene Lösung - das Sultanat Rum ist immer noch ungeheuer mächtig. Dennoch, mit dem unmittelbaren Druck der bärenstarken Seldschuken Sultanat von der byzantinischen Besitzungen umgeleitet, kann es möglich sein, die Vorteile der geschwächten Position der ägyptische Sultan an der nordafrikanischen Küste zu nehmen.;;Durante un breve período, los ducados de Kiev y Novgorod destacan equilibrada en el frío norte de Rusia. Ambos son de gran alcance y ambos desean unir a la Rus en una unión más permanente, pero sólo uno puede tener éxito. Al sur, los problemas en Bizancio se alivian por la fractura de la casa real selyúcida entre el asiento de Perisa y ron, pero esto también es una solución imperfecta - Sultanato de Rum es todavía inmensamente poderoso. Sin embargo, con la presión inmediata del inmensamente poderoso sultanato selyúcida desviados de las posesiones bizantinas, puede ser posible para aprovechar la posición debilitada del sultán de Egipto en la costa del norte de África.;;;;;x,,,,,
BM_ALMORAVID;Islam in Retreat;Islam en retraite;Islam in Retreat;;Islam en Retiro;;;;;x,,,,,,,,,,,,,
BM_ALMORAVID_DESC;The ascension of a young boy to the throne of the Almoravid Sultanate in the west has caused a domino effect of rebellions in its Iberian territories, while the Seljuk Sultanate's decadent collapse, accelerated by the Kingdom of Jerusalem battering at its borders, weakens Islam's unity in the east. Now is the time, servants of Christendom, to take up joyous arms in the name of Christ!;L'ascension d'un jeune garçon sur le trône de la almoravide Sultanat à l'ouest a provoqué un effet domino de rébellions dans ses territoires ibériques, tandis que l'effondrement décadent de la seldjoukide Sultanat, accélérée par le royaume de Jérusalem coups à ses frontières, affaiblit l'unité de l'Islam dans l'est. Il est maintenant temps, les fonctionnaires de la chrétienté, à prendre les armes joyeux au nom du Christ!;Der Aufstieg eines Jungen auf den Thron der Almoraviden Sultanat im Westen hat einen Domino-Effekt der Aufstände in der iberischen Gebiete verursacht, während der Seldschuken Sultanat dekadenten Zusammenbruch, beschleunigt durch das Königreich Jerusalem Misshandlung an seinen Grenzen, schwächt Islam die Einheit in der Osten. Jetzt ist die Zeit, Diener der Christenheit, in Christi Namen zu nehmen freudig die Arme!;;La ascensión de un joven al trono de la almorávide sultanato en el oeste ha provocado un efecto dominó de las rebeliones en sus territorios ibéricos, mientras que el colapso de decadencia del sultanato selyúcida, acelerado por el Reino de Jerusalén el maltrato en sus fronteras, debilita la unidad del Islam en el este. Ahora es el momento, los funcionarios de la cristiandad, a tomar las armas alegres en el nombre de Cristo!;;;;;x,,,,,,,,
BM_SELJUK;The Collapse of the Seljuks;L'effondrement des Seldjoukides;Der Zusammenbruch der Seldschuken;;El colapso de los selyúcidas;;;;;x,,,,,,,,,,,,,
BM_SELJUK_DESC;The Seljuk Sultanate, beset on all sides with enemies and divided internally by decadence, corruption, and incompetence, has finally collapsed. Myriad ex-vassals, remaining members of the Seljuk family, and opportunists stand poised to fight over the remnants. The Sunni Caliph, the Turkish Sultan of Khiva, and untold Emirs, some of them the last remnants of the old Persian elite, all circle the corpse with hunger--who will win the great prize?;Le Sultanat seldjoukide, assailli de tous les côtés avec des ennemis et divisée intérieurement par la décadence, la corruption et l'incompétence, a fini par s'effondrer. Ex-vassaux Myriad, les membres restants de la famille seldjoukide, et les opportunistes se prête à se battre pour les restes. Le calife sunnite, le sultan turc de Khiva, et émirs innombrables, certains d'entre eux les derniers vestiges de l'ancienne élite perse, tout cercle le cadavre de la faim - qui va gagner le grand prix?;Die Seldschuken, auf allen Seiten von Feinden bedrängt und intern von Dekadenz, Korruption und Inkompetenz unterteilt, ist endlich zusammengebrochen. Myriad Ex-Vasallen restlichen Mitglieder der Familie Seldschuken und Opportunisten stehen bereit, über die Reste zu kämpfen. Die sunnitischen Kalifen, der türkische Sultan von Chiwa, und unzählige Emire, einige von ihnen die letzten Reste des alten persischen Elite, alle Kreis die Leiche mit dem Hunger -, die die großen Preis gewinnen?;;El sultanato selyúcida, por todos lados rodeado de enemigos y dividido internamente por la decadencia, la corrupción y la incompetencia, finalmente se ha derrumbado. Ex vasallos Myriad, los restantes miembros de la familia, selyúcidas y los oportunistas de pie a punto de pelear por los restos. Los suníes Califa, el sultán turco de Jiva, y emires incalculables, algunos de ellos los últimos restos de la vieja élite persa, todo el círculo del cadáver con el hambre - ¿Quién ganará el gran premio?;;;;;x,,,
BM_SICILY;Richard and Philippe;Richard et Philippe;Richard und Philippe;;Richard y Philippe;;;;;x,,,,,,,,,,,,,
